,Price,Locate,Address,Beds,,,,,,
2221,R8 500,Wynberg Upper,302 Montana Vista 2 Riverstone Road,2,,,,,,
2230,R8 500,Heathfield,,2,,,,,,
2242,R8 500,Fresnaye,43 Avenue La Croix,1,,,,,,
2266,R8 500,Rondebosch,,1,,,,,,
2286,R8 500,Kenilworth,5 Punters Way,2,,,,,,
2307,R8 500,Claremont,"Stellenberg, 6 Protea Road, Claremont",1,,,,,,
2308,R8 500,Claremont,"Stellenberg, 6 Protea Road, Claremont",1,,,,,,
2337,R8 500,Cape Town City Centre,,1,,,,,,
2372,R8 500,Cape Town City Centre,,0.5,,,,,,
2378,R8 500,Wynberg Upper,,2,,,,,,
2383,R8 500,Wynberg,"7 Sybrand Mews, 24 York Road",2,,,,,,
2389,R8 500,Tamboerskloof,,2,,,,,,
2409,R8 500,Pinelands,,2,,,,,,
2410,R8 500,Claremont,"No.7 Don Resa Court, 251 Imam Haron Road",2,,,,,,
2415,R8 500,Lansdowne,,2,,,,,,
2433,R8 500,Lansdowne,,2,,,,,,
2439,R8 500,Sea Point,24 Queens Road,1,,,,,,
2458,R8 500,Cape Town City Centre,138 Four Seasons Buitenkant Street Cape Town,0.5,,,,,,
2462,R8 500,Cape Town City Centre,,1,,,,,,
2467,R8 500,Pinelands,,2,,,,,,
2472,R8 500,Cape Town City Centre,138 Four Seasons Buitenkant Street Cape Town,0.5,,,,,,
2489,R8 500,Pinelands,,2,,,,,,
2495,R8 500,Kenilworth Upper,,1,,,,,,
2554,R8 500,Ottery,,2,,,,,,
2579,R8 500,Mowbray,,2,,,,,,
2598,R8 500,Kenilworth,,2,,,,,,
2608,R8 500,Cape Town City Centre,,1,,,,,,
2612,R8 500,Cape Town City Centre,,1,,,,,,
2652,R8 500,Cape Town City Centre,,1,,,,,,
2668,R8 500,Zonnebloem,,1,,,,,,
2679,R8 500,Cape Town City Centre,61-69 Long St,1,,,,,,
2718,R8 500,Wynberg Upper,,2,,,,,,
2719,R8 500,Observatory,,1,,,,,,
2789,R8 500,Cape Town City Centre,,1,,,,,,
2803,R8 500,Cape Town City Centre,,1,,,,,,
2878,R8 500,Rondebosch,,2,,,,,,
2893,R8 500,Mowbray,1 Bloemendal Road,2,,,,,,
2944,R8 500,Kenilworth,,1,,,,,,
3119,R8 500,Rosebank,,2,,,,,,
3143,R8 500,Rondebosch,,1,,,,,,
3157,R8 500,Cape Town City Centre,St Martini Gardens 70 Queen Victoria Street,0.5,,,,,,
3182,R8 500,Retreat,,3,,,,,,
3266,R8 500,Wynberg,5 Mortimer Road,2,,,,,,
3270,R8 500,Rondebosch Village,,1,,,,,,
3287,R8 500,Thornton,Thor Circle,2,,,,,,
3305,R8 500,Diep River,,2,,,,,,
3338,R8 500,Vredehoek,,1,,,,,,
3339,R8 500,Vredehoek,,1,,,,,,
3344,R8 500,Rondebosch,404 Deauville 20 Ednam Road,1,,,,,,
3394,R8 500,Rosebank,1 Main Rd,2,,,,,,
3408,R8 500,Gardens,,1,,,,,,
3452,R8 500,Rosebank,22 Alma Road,2,,,,,,
3506,R8 500,Zonnebloem,43 Buitenkant Street,1,,,,,,
3510,R8 500,Three Anchor Bay,3frere Rd,1,,,,,,
3525,R8 500,Wynberg Upper,,2,,,,,,
3558,R8 500,Muizenberg,,1,,,,,,
3601,R8 500,Muizenberg,,2,,,,,,
3614,R8 500,Cape Town City Centre,,0.5,,,,,,
3687,R8 500,Cape Town City Centre,34 St Georges Mall,1,,,,,,
3706,R8 500,Sea Point,,1,,,,,,
3708,R8 500,Gardens,"Wembley Square, 40 Solan Road",1,,,,,,
3741,R8 500,Diep River,167 Main Road,2,,,,,,
3757,R8 500,Rondebosch,,1,,,,,,
3802,R8 500,Plumstead,,1,,,,,,
3816,R8 500,Cape Town City Centre,,1,,,,,,
3842,R8 500,Observatory,,2,,,,,,
3901,R8 500,Cape Town City Centre,16 Bree Street,0.5,,,,,,
3910,R8 500,Gardens,23 Camp Street,1,,,,,,
3927,R8 500,Woodstock,,2,,,,,,
3975,R8 500,Kenilworth,,2,,,,,,
3998,R8 500,Observatory,"Loft A18, 5 Howe Street",1,,,,,,
4046,R8 500,Woodstock,,1,,,,,,
4047,R8 500,Vredehoek,,1,,,,,,
4050,R8 500,Cape Town City Centre,,1,,,,,,
4119,R8 500,Green Point,,1,,,,,,
4120,R8 500,Plumstead,,2,,,,,,
4157,R8 500,Cape Town City Centre,,1,,,,,,
4164,R8 500,Gardens,"404 Wembley Sqaure, Solan Road",1,,,,,,
4178,R8 500,Cape Town City Centre,,1,,,,,,
4220,R8 500,Plumstead,,1,,,,,,
4279,R8 500,Rondebosch,,1,,,,,,
4288,R8 500,Vredehoek,,1,,,,,,
4322,R8 500,Diep River,"Annandale Place, 12 Annandale Road",2,,,,,,
4356,R8 500,Observatory,118 Lower Main Road,2,,,,,,
4367,R8 500,Woodstock,,1,,,,,,
4444,R8 500,Three Anchor Bay,,1,,,,,,
4489,R8 500,Vredehoek,,2,,,,,,
4516,R8 500,Sea Point,,1,,,,,,
4519,R8 500,Sea Point,,1,,,,,,
4550,R8 500,Cape Town City Centre,,1,,,,,,
4568,R8 500,Rondebosch,,1,,,,,,
4581,R8 500,Kenilworth,,1,,,,,,
4583,R8 500,Rondebosch,,1,,,,,,
4603,R8 500,Observatory,1 Georges Street,2,,,,,,
4644,R8 500,Constantia,,1,,,,,,
4683,R8 500,Cape Town City Centre,,1,,,,,,
4689,R8 500,Woodstock,,1,,,,,,
4731,R8 500,Salt River,,1,,,,,,
4753,R8 500,Woodstock,,0.5,,,,,,
4761,R8 500,Cape Town City Centre,,1,,,,,,
4772,R8 500,Sea Point,,1,,,,,,
4890,R8 500,Fresnaye,,0.5,,,,,,
4909,R8 500,Bergvliet,,2,,,,,,
4942,R8 500,Zonnebloem,,1,,,,,,
4986,R8 500,Observatory,,1,,,,,,
5040,R8 500,Vredehoek,,2,,,,,,
5054,R8 500,Oranjezicht,,1,,,,,,
5077,R8 500,Cape Town City Centre,,1,,,,,,
3396,R8 520,Observatory,6 Dane St,1,,,,,,
1965,R8 590,Cape Town City Centre,90 Bree Street,1,,,,,,
1341,R8 600,Observatory,1 Seymour Street,1,,,,,,
4323,R8 600,Tamboerskloof,,1,,,,,,
4324,R8 600,Tamboerskloof,,1,,,,,,
2737,R8 620,Plumstead,"Musgrave Park, 40 Old Kendal Road, Diep River, Cape Town",2,,,,,,
4463,R8 620,Diep River,,2,,,,,,
4737,R8 620,Diep River,,2,,,,,,
820,R8 640,Observatory,,1,,,,,,
1556,R8 650,Green Point,,1,,,,,,
1836,R8 650,Green Point,,1,,,,,,
977,R8 700,Zonnebloem,31 Constitution Street,2,,,,,,
981,R8 700,Zonnebloem,31 Constitution Street,2,,,,,,
984,R8 700,Wynberg Upper,31 Wolfe Street,1,,,,,,
1283,R8 700,Claremont,,2,,,,,,
1993,R8 700,Plumstead,,2,,,,,,
3435,R8 700,Green Point,,1,,,,,,
25,R8 750,Plumstead,"12 Riverside Court, 4 Riverside Road",2,,,,,,
384,R8 750,Rondebosch,1 Milner Road,1,,,,,,
1325,R8 750,Cape Town City Centre,,1,,,,,,
1738,R8 750,Cape Town City Centre,,1,,,,,,
2113,R8 750,Woodstock,27 Dickson Street,2,,,,,,
2136,R8 750,Tamboerskloof,1 Upper Camp Roads,2,,,,,,
2479,R8 750,Observatory,,1,,,,,,
2675,R8 750,Rondebosch,26 Roslyn Road,1,,,,,,
2692,R8 750,Kenilworth,,1,,,,,,
3054,R8 750,Cape Town City Centre,,1,,,,,,
3081,R8 750,Three Anchor Bay,207 Main Rd,1,,,,,,
3222,R8 750,Observatory,,1,,,,,,
4708,R8 750,Tamboerskloof,,1,,,,,,
4780,R8 750,Tamboerskloof,,1,,,,,,
264,R8 800,Green Point,7 Main Road,1,,,,,,
668,R8 800,Woodstock,34 Dickson Street,2,,,,,,
954,R8 800,Rosebank,8 Lyle Road,2,,,,,,
2639,R8 800,Gardens,,1,,,,,,
2950,R8 800,Pinelands,Anfield Village Forest Drive Extention Road,,,,,,,
3581,R8 800,Observatory,1 Howe Street,1,,,,,,
3869,R8 800,Rondebosch,,1,,,,,,
4042,R8 800,Mouille Point,93 Beach Road,1,,,,,,
5057,R8 800,Gardens,,1,,,,,,
3164,R8 895,Pinelands,12 Stellenberg Road,2,,,,,,
58,R8 900,Cape Town City Centre,70 Queen Victoria Street,0.5,,,,,,
120,R8 900,Rondebosch,3 Main Rd,1,,,,,,
298,R8 900,Woodstock,,0.5,,,,,,
455,R8 900,Cape Town City Centre,,1,,,,,,
478,R8 900,Pinelands,,2,,,,,,
1000,R8 900,Claremont,,2,,,,,,
1469,R8 900,Cape Town City Centre,,1,,,,,,
1532,R8 900,Cape Town City Centre,37 Roeland,2,,,,,,
1676,R8 900,Gardens,47 Buitenkant Street,1,,,,,,
1711,R8 900,Vredehoek,1 St James Road,1,,,,,,
2087,R8 900,Wynberg,"The Chelsea, 19 Aliwal Rd",2,,,,,,
2105,R8 900,Kenilworth,Pageant Court 2 Twilley Street,,,,,,,
2304,R8 900,Rondebosch,,2,,,,,,
3049,R8 900,Mouille Point,"93 Beach Road, Mouille Point",1,,,,,,
3241,R8 900,Sea Point,21 Bickley Rd,1,,,,,,
3380,R8 900,Cape Town City Centre,,1,,,,,,
3426,R8 900,Cape Town City Centre,"St Martini Gardens, 72 Queen Victoria Street",0.5,,,,,,
3745,R8 900,Woodstock,"Upper East Side, 31 Brickfield Road",1,,,,,,
3899,R8 900,Diep River,"315 Sandhurst,13 Annandale Road, Diep River",2,,,,,,
4277,R8 900,Kenilworth,,1,,,,,,
5043,R8 900,Gardens,,2,,,,,,
117,R8 950,Kenilworth,345 Main Road,2,,,,,,
328,R8 950,Tamboerskloof,,1,,,,,,
936,R8 950,Kenilworth,,3,,,,,,
1227,R8 950,Plumstead,,2,,,,,,
1338,R8 950,Cape Town City Centre,,1,,,,,,
1447,R8 950,Cape Town City Centre,,1,,,,,,
1494,R8 950,Wynberg Upper,3 Electric Road,1,,,,,,
1505,R8 950,Claremont,70 Third Avenue,2,,,,,,
1742,R8 950,Mowbray,2 One On Long 1 Long Street,2,,,,,,
1775,R8 950,Rondebosch Village,,2,,,,,,
1806,R8 950,Rondebosch,,1,,,,,,
1885,R8 950,Wynberg Upper,"22 Constantia Main Road, Wynberg Upper",2,,,,,,
2106,R8 950,Kenilworth,86 Rosmead Avenue,2,,,,,,
2753,R8 950,Cape Town City Centre,,1,,,,,,
3319,R8 950,Oranjezicht,,2,,,,,,
4082,R8 950,Oranjezicht,,2,,,,,,
4147,R8 950,Kenilworth Upper,,2,,,,,,
4148,R8 950,Kenilworth Upper,25a Salisbury Road,1,,,,,,
4593,R8 950,Oranjezicht,,2,,,,,,
4712,R8 950,Diep River,,2,,,,,,
4,R9 000,Tamboerskloof,,0.5,,,,,,
16,R9 000,Tamboerskloof,,0.5,,,,,,
20,R9 000,Cape Town City Centre,,0.5,,,,,,
60,R9 000,Gardens,9 Camp Sreet,1,,,,,,
64,R9 000,Gardens,9 Camp Street,1,,,,,,
84,R9 000,Sea Point,233 Beach Road,1,,,,,,
97,R9 000,Woodstock,17 Bromwell Street,1,,,,,,
143,R9 000,Sea Point,229 High Level Rd,1,,,,,,
204,R9 000,Cape Town City Centre,301 Long St,1,,,,,,
207,R9 000,Green Point,"18 Sloane Square, 159 Main Rd, Greenpoint.",1,,,,,,
219,R9 000,Cape Town City Centre,16 Bree Street,1,,,,,,
327,R9 000,Zonnebloem,,2,,,,,,
446,R9 000,Kenilworth,,,,,,,,
467,R9 000,Cape Town City Centre,19 Parliament Street,1,,,,,,
482,R9 000,Three Anchor Bay,,,,,,,,
494,R9 000,Green Point,159 Main Road,1,,,,,,
518,R9 000,Sea Point,13 Oliver Road,1,,,,,,
570,R9 000,Cape Town City Centre,66 Keerom Street,1,,,,,,
606,R9 000,Cape Town City Centre,14 Darling Street,1,,,,,,
628,R9 000,Kenilworth,7 Lancaster Road,2,,,,,,
633,R9 000,Rondebosch,,1,,,,,,
698,R9 000,Muizenberg,20-24 Alexander Road,2,,,,,,
710,R9 000,Camps Bay,,1,,,,,,
714,R9 000,Camps Bay,,0.5,,,,,,
738,R9 000,Sea Point,,1,,,,,,
779,R9 000,Cape Town City Centre,,1,,,,,,
830,R9 000,Green Point,,1,,,,,,
868,R9 000,Wynberg,"Milestone, 201 Main Road",3,,,,,,
898,R9 000,Green Point,,1,,,,,,
899,R9 000,Kenilworth,Monte Vino 86 Rosmead Avenue,2,,,,,,
905,R9 000,Observatory,,1,,,,,,
994,R9 000,Rondebosch,81 Klipfontein Road,1,,,,,,
1003,R9 000,Woodstock,187 Sir Lowry Road,1,,,,,,
1016,R9 000,Gardens,12 Derwent Street,1,,,,,,
1031,R9 000,Salt River,,2,,,,,,
1037,R9 000,Salt River,,2,,,,,,
1051,R9 000,Zonnebloem,"Six, 76 Sir Lowry Road",2,,,,,,
1052,R9 000,Zonnebloem,"Six, 76 Sir Lowry Road",2,,,,,,
1070,R9 000,Oranjezicht,,2,,,,,,
1082,R9 000,Gardens,Mill Street and St. Quinton Road,1,,,,,,
1091,R9 000,Woodstock,,1,,,,,,
1126,R9 000,Woodstock,187 Sir Lowry Road,1,,,,,,
1159,R9 000,Cape Town City Centre,16 Bree St,0.5,,,,,,
1205,R9 000,Observatory,,2,,,,,,
1214,R9 000,Wynberg Upper,,2,,,,,,
1304,R9 000,Rondebosch,"Phillips Road, Rondebosch",2,,,,,,
1314,R9 000,Pinelands,,2,,,,,,
1346,R9 000,Woodstock,31 Brickfield Road,1,,,,,,
1402,R9 000,Kenilworth Upper,,1,,,,,,
1421,R9 000,Vredehoek,,1,,,,,,
1444,R9 000,Gardens,,1,,,,,,
1553,R9 000,Claremont,11 Old Stanhope Rd,1,,,,,,
1569,R9 000,Claremont,11 Old Stanhope Rd,1,,,,,,
1576,R9 000,Sea Point,17 Albany Rd,1,,,,,,
1592,R9 000,Wynberg Upper,15 Aliwal Rd,2,,,,,,
1674,R9 000,Woodstock,187 Sir Lowry Road,1,,,,,,
1685,R9 000,Cape Town City Centre,71 Waterkant Street,1,,,,,,
1691,R9 000,Cape Town City Centre,71 Waterkant Street,1,,,,,,
1717,R9 000,Mowbray,6 Caledonian Rd,2,,,,,,
1731,R9 000,Wynberg,201 Main Road Wynberg,3,,,,,,
1740,R9 000,Woodstock,,0.5,,,,,,
1769,R9 000,Gardens,1 Hiddingh Avenue,1,,,,,,
1804,R9 000,Oranjezicht,,1,,,,,,
1817,R9 000,Green Point,,1,,,,,,
1821,R9 000,Gardens,,1,,,,,,
1825,R9 000,Sea Point,,1,,,,,,
1832,R9 000,Woodstock,,2,,,,,,
1833,R9 000,Sea Point,16 London Rd,1,,,,,,
1841,R9 000,Woodstock,,1,,,,,,
1856,R9 000,Gardens,,1,,,,,,
1883,R9 000,Wynberg Upper,"1 Sunninghill Rd, Corner Riverstone and Sunninghill Rds, Wynberg",2,,,,,,
1896,R9 000,Cape Town City Centre,,0.5,,,,,,
1901,R9 000,Cape Town City Centre,,0.5,,,,,,
1910,R9 000,Gardens,5 Park Road,1,,,,,,
1915,R9 000,Harfield Village,,2,,,,,,
1970,R9 000,Cape Town City Centre,,1,,,,,,
1972,R9 000,Cape Town City Centre,54 Keerom,1,,,,,,
2084,R9 000,Bantry Bay,18 Victoria Road,2,,,,,,
2118,R9 000,Observatory,,2,,,,,,
2156,R9 000,Woodstock,2 Ravenscraig Road,1,,,,,,
2157,R9 000,Claremont,,1,,,,,,
2193,R9 000,Zonnebloem,,2,,,,,,
2198,R9 000,Bo Kaap,,2,,,,,,
2199,R9 000,Wynberg,,3,,,,,,
2273,R9 000,Wynberg,,3,,,,,,
2290,R9 000,Rondebosch,,2,,,,,,
2312,R9 000,Oranjezicht,12 Mill Street,1,,,,,,
2320,R9 000,Tokai,,2,,,,,,
2323,R9 000,Gardens,,2,,,,,,
2327,R9 000,Gardens,,2,,,,,,
2334,R9 000,Zonnebloem,"Chapel Towers, 45 Chapel Street",2,,,,,,
2368,R9 000,Kenilworth,,2,,,,,,
2388,R9 000,Cape Town City Centre,1509 Four Seasons 43 Buitenkant Street Cape Town,1,,,,,,
2411,R9 000,Woodstock,187 Sir Lowry Road,1,,,,,,
2453,R9 000,Kenilworth,,2,,,,,,
2468,R9 000,Woodstock,,1,,,,,,
2486,R9 000,Observatory,,1,,,,,,
2527,R9 000,Muizenberg,,2,,,,,,
2547,R9 000,Cape Town City Centre,,1,,,,,,
2566,R9 000,Mouille Point,,1,,,,,,
2572,R9 000,Mouille Point,,1,,,,,,
2578,R9 000,Oranjezicht,,1,,,,,,
2738,R9 000,Rondebosch,,2,,,,,,
2739,R9 000,Rondebosch,,2,,,,,,
2747,R9 000,Cape Town City Centre,,1,,,,,,
2749,R9 000,Plumstead,3 Culm Road,2,,,,,,
2763,R9 000,Cape Town City Centre,42 Perspectives 38 Roeland Street Cape Town,1,,,,,,
2767,R9 000,Rondebosch,,2,,,,,,
2787,R9 000,Claremont Upper,301 The Grove 18 Grove Avenue,2,,,,,,
2849,R9 000,Woodstock,31 Brickfield Road,1,,,,,,
2872,R9 000,Cape Town City Centre,19 Adderley,1,,,,,,
3026,R9 000,Sea Point,4 Heylon Court 367 Main Road Sea Point,1,,,,,,
3050,R9 000,Cape Town City Centre,,1,,,,,,
3056,R9 000,Bergvliet,,3,,,,,,
3084,R9 000,Gardens,"40 Wesley Street, Wembley Square",1,,,,,,
3104,R9 000,Green Point,,1,,,,,,
3110,R9 000,Wynberg,,3,,,,,,
3130,R9 000,Gardens,,1,,,,,,
3177,R9 000,Cape Town City Centre,,1,,,,,,
3194,R9 000,Plumstead,,2,,,,,,
3206,R9 000,Plumstead,,2,,,,,,
3228,R9 000,Mowbray,,2,,,,,,
3259,R9 000,Observatory,,1,,,,,,
3301,R9 000,Rondebosch,,2,,,,,,
3343,R9 000,Rosebank,,2,,,,,,
3399,R9 000,Woodstock,,1,,,,,,
3404,R9 000,Pinelands,,2,,,,,,
3407,R9 000,Sea Point,303 Beach Road,0.5,,,,,,
3414,R9 000,Bo Kaap,,2,,,,,,
3456,R9 000,Rondebosch,,1,,,,,,
3535,R9 000,Sea Point,,1,,,,,,
3553,R9 000,Woodstock,,1,,,,,,
3577,R9 000,Muizenberg,91 Villa De Algarve Muizenburg,3,,,,,,
3591,R9 000,Zonnebloem,,2,,,,,,
3595,R9 000,Oranjezicht,164 Upper Buitekant Street,1,,,,,,
3609,R9 000,Zonnebloem,,2,,,,,,
3626,R9 000,Gardens,,,,,,,,
3639,R9 000,Muizenberg,,3,,,,,,
3646,R9 000,Cape Town City Centre,19 Parliament Street,1,,,,,,
3661,R9 000,Gardens,,0.5,,,,,,
3722,R9 000,Green Point,,1,,,,,,
3734,R9 000,Observatory,,2,,,,,,
3744,R9 000,Harfield Village,4 Ventnor Road,3,,,,,,
3785,R9 000,Rosebank,,2,,,,,,
3800,R9 000,Kenilworth,"6, 156 On Rosmead Rosmead Avenue",2,,,,,,
3849,R9 000,Cape Town City Centre,,0.5,,,,,,
3862,R9 000,Wynberg,,2,,,,,,
3896,R9 000,Green Point,,2,,,,,,
3897,R9 000,Diep River,167 Main Road,1,,,,,,
3900,R9 000,Green Point,,1,,,,,,
3994,R9 000,Observatory,1 Howe Street,2,,,,,,
4004,R9 000,Diep River,167 Main Road,2,,,,,,
4060,R9 000,Fresnaye,,1,,,,,,
4155,R9 000,Vredehoek,"Kilburn, 45 St James Street",2,,,,,,
4162,R9 000,Oranjezicht,,1,,,,,,
4233,R9 000,Gardens,138 Buitenkant Street,2,,,,,,
4269,R9 000,Zonnebloem,"76 Sir Lowry Road, Zonnebloem, Cape Town",2,,,,,,
4298,R9 000,Sea Point,,1,,,,,,
4308,R9 000,Woodstock,,1,,,,,,
4325,R9 000,Observatory,,1,,,,,,
4337,R9 000,Rosebank,22 Alma,2,,,,,,
4338,R9 000,Diep River,,2,,,,,,
4415,R9 000,Oranjezicht,,1,,,,,,
4437,R9 000,Cape Town City Centre,,1,,,,,,
4446,R9 000,Kenilworth,,2,,,,,,
4484,R9 000,Gardens,,2,,,,,,
4513,R9 000,Cape Town City Centre,,1,,,,,,
4552,R9 000,Vredehoek,,2,,,,,,
4572,R9 000,Diep River,,2,,,,,,
4588,R9 000,Cape Town City Centre,,1,,,,,,
4639,R9 000,Newlands,,2,,,,,,
4662,R9 000,Fresnaye,,0.5,,,,,,
4673,R9 000,Fresnaye,,0.5,,,,,,
4726,R9 000,Claremont,,2,,,,,,
4788,R9 000,Cape Town City Centre,,1,,,,,,
4820,R9 000,Rondebosch,,2,,,,,,
4857,R9 000,Sea Point,,1,,,,,,
4882,R9 000,Cape Town City Centre,,1,,,,,,
4920,R9 000,Cape Town City Centre,,1,,,,,,
4935,R9 000,Observatory,,1,,,,,,
5003,R9 000,Oranjezicht,,1,,,,,,
5042,R9 000,Rondebosch,,1,,,,,,
2983,R9 075,Tokai,,2,,,,,,
962,R9 100,Mowbray,,2,,,,,,
4117,R9 100,Vredehoek,,1,,,,,,
30,R9 200,Woodstock,34 Dickson St,1,,,,,,
1090,R9 200,Gardens,,2,,,,,,
1364,R9 200,Sea Point,,1,,,,,,
1621,R9 200,Sea Point,,0.5,,,,,,
1699,R9 200,Plumstead,23 Burnham Rd,2,,,,,,
2062,R9 200,Woodstock,,1,,,,,,
2494,R9 200,Rondebosch,,2,,,,,,
2682,R9 200,Sea Point,75 Regent Road,1,,,,,,
3046,R9 200,Kirstenhof,"Bloomdale, 2 Hayworth Way",3,,,,,,
3461,R9 200,Plumstead,"A01 Nature's Gate, 3 Knutsford Road",2,,,,,,
1232,R9 250,Rondebosch,"55 Albion Rd, Rondebosch",2,,,,,,
1306,R9 250,Cape Town City Centre,12 Darling,1,,,,,,
2336,R9 250,Sea Point,,0.5,,,,,,
3120,R9 250,Cape Town City Centre,,1,,,,,,
3325,R9 250,Green Point,,,,,,,,
945,R9 295,Observatory,,2,,,,,,
1446,R9 300,Rondebosch,,2,,,,,,
2928,R9 300,Sea Point,,1,,,,,,
4125,R9 300,Rondebosch,,2,,,,,,
1224,R9 400,Gardens,10 Union Street,1,,,,,,
1568,R9 400,Wynberg,Kayville Mansions 96 Constantia Road,2,,,,,,
1795,R9 400,Claremont Upper,255 Main Road,2,,,,,,
1843,R9 400,Claremont Upper,15 Grove Avenue,2,,,,,,
3637,R9 400,Vredehoek,,2,,,,,,
1309,R9 450,Heathfield,36 Rochester Road,2,,,,,,
1487,R9 450,Rosebank,8 Lyle Road,2,,,,,,
3423,R9 450,Plumstead,,2,,,,,,
70,R9 500,Woodstock,85 Albert Rd,1,,,,,,
90,R9 500,Claremont Upper,25 Protea Road,1,,,,,,
126,R9 500,Rondebosch,51 Rouwkoop Road,2,,,,,,
130,R9 500,Woodstock,187 Sir Lowry Rd,1,,,,,,
256,R9 500,Woodstock,7 Victoria Walk,2,,,,,,
267,R9 500,Woodstock,7 Victoria Walk,2,,,,,,
277,R9 500,Kenilworth,13 Mckinley Rd,2,,,,,,
297,R9 500,Sea Point,,1,,,,,,
311,R9 500,Sea Point,,1,,,,,,
341,R9 500,Gardens,,1,,,,,,
355,R9 500,Cape Town City Centre,63 Church Street,1,,,,,,
366,R9 500,Rosebank,,2,,,,,,
417,R9 500,Cape Town City Centre,"302 Mutual Heights, 19 Parliament Street",,,,,,,
431,R9 500,Fresnaye,"12 Trianon, 13 Marseilles Avenue",1,,,,,,
461,R9 500,Rondebosch,,1,,,,,,
464,R9 500,Green Point,197 Main Road,1,,,,,,
485,R9 500,Woodstock,,1,,,,,,
520,R9 500,Mouille Point,,1,,,,,,
541,R9 500,Salt River,"Upper East Side, 31 Brickfield Rd",1,,,,,,
561,R9 500,Sea Point,,0.5,,,,,,
594,R9 500,Gardens,,1,,,,,,
598,R9 500,Green Point,9a Upper Portswood Rd,1,,,,,,
613,R9 500,Observatory,2 Howe Street,2,,,,,,
741,R9 500,Tamboerskloof,,1,,,,,,
762,R9 500,Woodstock,,2,,,,,,
769,R9 500,Sea Point,,1,,,,,,
802,R9 500,Bo Kaap,,1,,,,,,
837,R9 500,Zonnebloem,,2,,,,,,
839,R9 500,Cape Town City Centre,88 St Georges Mall,1,,,,,,
928,R9 500,Gardens,Mill St Oranjezicht,1,,,,,,
996,R9 500,Cape Town City Centre,,1,,,,,,
1005,R9 500,Gardens,The Delaware Apartments Mill Street,1,,,,,,
1053,R9 500,Green Point,,1,,,,,,
1087,R9 500,Observatory,,3,,,,,,
1118,R9 500,Green Point,,1,,,,,,
1264,R9 500,Claremont Upper,,2,,,,,,
1267,R9 500,Claremont Upper,,2,,,,,,
1270,R9 500,Green Point,,1,,,,,,
1292,R9 500,Kenilworth,114 Third Ave,2,,,,,,
1350,R9 500,Wynberg Upper,24 Bower Road,2,,,,,,
1411,R9 500,Gardens,"Unt 524, Wembley Square, Cnr Mckenzie Street and Wembley Rd",1,,,,,,
1412,R9 500,Kenilworth,,1,,,,,,
1423,R9 500,Gardens,,2,,,,,,
1428,R9 500,Bo Kaap,114 Yusuf Drive,2,,,,,,
1470,R9 500,Cape Town City Centre,130 Bree Street,1,,,,,,
1473,R9 500,Rosebank,,2,,,,,,
1507,R9 500,Sea Point,,1,,,,,,
1550,R9 500,Cape Town City Centre,,0.5,,,,,,
1578,R9 500,Observatory,,2,,,,,,
1617,R9 500,Three Anchor Bay,22 Three Anchor Bay Road,1,,,,,,
1664,R9 500,Woodstock,,2,,,,,,
1683,R9 500,Bakoven,,1,,,,,,
1713,R9 500,Claremont Upper,8 Grove Walk,1,,,,,,
1752,R9 500,Claremont,,2,,,,,,
1767,R9 500,Claremont,,2,,,,,,
1783,R9 500,Kenilworth,,3,,,,,,
1823,R9 500,Observatory,,3,,,,,,
1852,R9 500,Sea Point,,0.5,,,,,,
2034,R9 500,De Waterkant,,,,,,,,
2035,R9 500,Rondebosch,4 Windsor Mansions 3 Lulworth Rd,2,,,,,,
2121,R9 500,Cape Town City Centre,57 Heerengracht Street,1,,,,,,
2133,R9 500,Muizenberg,,2,,,,,,
2140,R9 500,Woodstock,12 Listowel Road,2,,,,,,
2144,R9 500,Cape Town City Centre,,1,,,,,,
2170,R9 500,Claremont,,2,,,,,,
2206,R9 500,Kenilworth,7 Lancaster Rd,2,,,,,,
2225,R9 500,Bo Kaap,,2,,,,,,
2257,R9 500,Woodstock,,1,,,,,,
2306,R9 500,Claremont,"C3 Westlodge, 196 Imam Haron Road",2,,,,,,
2319,R9 500,Vredehoek,,2,,,,,,
2365,R9 500,Bantry Bay,,1,,,,,,
2401,R9 500,Vredehoek,20 Ben Avenue,1,,,,,,
2440,R9 500,Woodstock,,1,,,,,,
2456,R9 500,Woodstock,,1,,,,,,
2510,R9 500,Green Point,,1,,,,,,
2524,R9 500,Observatory,2 Anson Street,3,,,,,,
2588,R9 500,Sea Point,,1,,,,,,
2637,R9 500,Rosebank,,2,,,,,,
2659,R9 500,Zonnebloem,,2,,,,,,
2702,R9 500,Sea Point,,0.5,,,,,,
2708,R9 500,Sea Point,,2,,,,,,
2710,R9 500,Gardens,,1,,,,,,
2774,R9 500,Woodstock,,1,,,,,,
2792,R9 500,Woodstock,Sydney St Zonnebloem,2,,,,,,
2806,R9 500,Cape Town City Centre,,0.5,,,,,,
2813,R9 500,Gardens,,1,,,,,,
2896,R9 500,Woodstock,85 Albert Road,1,,,,,,
2956,R9 500,Bo Kaap,71 Leewendal,2,,,,,,
3022,R9 500,Cape Town City Centre,,1,,,,,,
3033,R9 500,Cape Town City Centre,16 Bree Street,0.5,,,,,,
3035,R9 500,Gardens,,1,,,,,,
3038,R9 500,Cape Town City Centre,,0.5,,,,,,
3069,R9 500,Rosebank,,2,,,,,,
3072,R9 500,Observatory,,1,,,,,,
