,Price,Locate,Address,Beds,,,,,,
931,R5 500,Walmer Estate,,0.5,,,,,,
992,R5 500,Observatory,14 Cole St,1,,,,,,
1015,R5 500,Crawford,8 Burwood Road,1,,,,,,
1048,R5 500,Wynberg,,1,,,,,,
1262,R5 500,Lansdowne,7 Yorkshire,1,,,,,,
1311,R5 500,Cape Town City Centre,,1,,,,,,
1320,R5 500,Cape Town City Centre,,1,,,,,,
1661,R5 500,Oranjezicht,,0.5,,,,,,
1708,R5 500,Pinelands,"7 Glen Garry, Pinelands",1,,,,,,
1751,R5 500,Rosebank,,1,,,,,,
1981,R5 500,Pinelands,,1,,,,,,
2001,R5 500,Woodstock,3b.1 Ormskirk Road,1,,,,,,
2005,R5 500,Grassy Park,,0.5,,,,,,
2128,R5 500,Mowbray,Savoy Gardens Rose Street,1,,,,,,
2294,R5 500,Muizenberg,"Flat 28 Bayview, Main Road Muizenberg",1,,,,,,
2436,R5 500,Lansdowne,7 Yorkshire Road,2,,,,,,
2451,R5 500,Maitland,Amstel Road Maitland,,,,,,,
2505,R5 500,Bergvliet,,1,,,,,,
2570,R5 500,Maitland,2 Amstel Road Maitland,,,,,,,
2673,R5 500,Rondebosch East,,1,,,,,,
2764,R5 500,Woodstock,3b.1 Ormskirk Road,1,,,,,,
2797,R5 500,Woodstock,,1,,,,,,
2809,R5 500,Woodstock,,1,,,,,,
3066,R5 500,Zonnebloem,,1,,,,,,
3106,R5 500,Pelican Heights,,,,,,,,
3138,R5 500,Bergvliet,,1,,,,,,
3221,R5 500,Maitland,2 Amstel Road Maitland,,,,,,,
3272,R5 500,Grassy Park,1 22 Sixth,1,,,,,,
3284,R5 500,Maitland,21 Royal Road,1,,,,,,
3285,R5 500,Maitland,21 Royal Road,1,,,,,,
3340,R5 500,Maitland,10 Amstel Road,,,,,,,
3347,R5 500,Rondebosch,,1,,,,,,
3360,R5 500,Observatory,1 Corner Collingwood,,,,,,,
3436,R5 500,Wynberg Upper,,1,,,,,,
3566,R5 500,Belthorne Estate,,1,,,,,,
3761,R5 500,Fairways,,1,,,,,,
4014,R5 500,Mowbray,,1,,,,,,
4022,R5 500,Mowbray,,1,,,,,,
4026,R5 500,Gardens,72 On Kloof,0.5,,,,,,
4171,R5 500,Observatory,Cnr Polo and 309 Main Road,1,,,,,,
4213,R5 500,Mowbray,,1,,,,,,
4275,R5 500,Sea Point,,0.5,,,,,,
4335,R5 500,Observatory,,18,,,,,,
4451,R5 500,Bergvliet,,1,,,,,,
5126,R5 500,Diep River,,1,,,,,,
4966,R5 600,Kenilworth Upper,,1,,,,,,
2405,R5 700,Constantia,,1,,,,,,
930,R5 750,Gardens,,1,,,,,,
